GL Class,GL Account,Budget,Actuals,Encumbrances,Remaining,% Received/ Spent
Asset,11-01-01-00-00000-10100,$0.00 ,"$20,482,014.38 ",$0.00 ,"($20,482,014.38)",101%
Asset,11-01-01-00-00000-10101,$0.00 ,$0.00 ,$0.00 ,$0.00 ,0%
Asset,11-01-01-00-00000-10103,$0.00 ,"$71,151.77 ",$0.00 ,"($71,151.77)",101%
Asset,11-01-01-00-00000-10104,$0.00 ,"$19,266.40 ",$0.00 ,"($19,266.40)",101%
Asset,11-01-01-00-00000-10105,$0.00 ,$0.00 ,$0.00 ,$0.00 ,0%
Asset,11-01-01-00-00000-10106,$0.00 ,($145.50),$0.00 ,$145.50 ,-101%
Asset,11-00-01-00-00000-10110,$0.00 ,"$211,410.84 ",$0.00 ,"($211,410.84)",101%
Asset,11-00-02-00-00000-10110,$0.00 ,"$1,999,999,999.00 ",$0.00 ,"($1,999,999,999.00)",101%
Asset,11-00-01-00-00000-10113,$0.00 ,"($8,718.13)",$0.00 ,"$8,718.13 ",-101%
Asset,11-00-01-00-00000-10114,$0.00 ,$907.51 ,$0.00 ,($907.51),101%
Asset,11-00-01-00-00000-10115,$0.00 ,$0.00 ,$0.00 ,$0.00 ,0%
Asset,11-01-01-00-00000-10115,$0.00 ,$0.00 ,$0.00 ,$0.00 ,0%
Asset,11-01-01-00-00000-10116,$0.00 ,$0.00 ,$0.00 ,$0.00 ,0%
Asset,11-01-01-00-00000-10117,$0.00 ,$0.00 ,$0.00 ,$0.00 ,0%
Asset,11-01-01-00-00000-10118,$0.00 ,$0.00 ,$0.00 ,$0.00 ,0%
Asset,11-01-01-00-00000-10119,$0.00 ,$0.00 ,$0.00 ,$0.00 ,0%
Asset,11-01-01-00-00000-10120,$0.00 ,$0.00 ,$0.00 ,$0.00 ,0%
Asset,11-01-01-00-00000-10121,$0.00 ,$0.00 ,$0.00 ,$0.00 ,0%
Asset,11-01-01-00-00000-10131,$0.00 ,$0.00 ,$0.00 ,$0.00 ,0%
Asset,11-01-01-00-00000-10132,$0.00 ,"($4,526.59)",$0.00 ,"$4,526.59 ",-101%
Asset,11-00-01-00-00000-10141,$0.00 ,"$44,233.03 ",$0.00 ,"($44,233.03)",101%
Asset,11-00-02-00-00000-10141,$0.00 ,"$2,791.68 ",$0.00 ,"($2,791.68)",101%
Asset,11-00-03-00-00000-10141,$0.00 ,"$2,600.00 ",$0.00 ,"($2,600.00)",101%
Asset,11-00-04-00-00000-10141,$0.00 ,$0.00 ,$0.00 ,$0.00 ,0%
Asset,11-01-01-00-00000-10161,$0.00 ,$200.75 ,$1.27 ,($202.02),101%
Asset,11-01-01-00-00000-10204,$0.00 ,$0.00 ,$0.00 ,$0.00 ,0%
Asset,11-01-01-00-00000-10206,$0.00 ,$0.00 ,$0.00 ,$0.00 ,0%
Asset,11-00-01-00-00000-10210,$0.00 ,$0.00 ,$0.00 ,$0.00 ,0%
Asset,11-00-01-00-00000-10220,$0.00 ,$0.00 ,$0.00 ,$0.00 ,0%
Asset,11-00-01-00-00000-10230,$0.00 ,$0.00 ,$0.00 ,$0.00 ,0%
Asset,11-00-01-00-00000-10240,$0.00 ,$0.00 ,$0.00 ,$0.00 ,0%
Asset,11-00-01-00-00000-10250,$0.00 ,$0.00 ,$0.00 ,$0.00 ,0%
Asset,11-01-01-00-00000-10300,$0.00 ,"($9,399,542.58)",$0.00 ,"$9,399,542.58 ",-101%
Asset,11-01-01-00-00000-10301,$0.00 ,"$3,167.50 ",$0.00 ,"($3,167.50)",101%
Asset,11-01-01-00-00000-10302,$0.00 ,"$87,212.00 ",$0.00 ,"($87,212.00)",101%
Asset,11-01-01-00-00000-10303,$0.00 ,$0.00 ,$0.00 ,$0.00 ,0%
Asset,11-01-01-00-00000-10304,$0.00 ,"($4,000.00)",$0.00 ,"$4,000.00 ",-101%
Asset,11-00-01-00-00000-10305,$0.00 ,"$18,743.99 ",$0.00 ,"($18,743.99)",101%
Asset,11-00-02-00-00000-10305,$0.00 ,"$2,180.00 ",$0.00 ,"($2,180.00)",101%
Asset,11-00-03-00-00000-10305,$0.00 ,$375.00 ,$0.00 ,($375.00),101%
